Sector,Count Type,Year,State,Value
RESIDENTIAL,Revenues,2019,MO,3975602
RESIDENTIAL,Revenues,2019,MS,2108801
RESIDENTIAL,Revenues,2019,MT,590942
RESIDENTIAL,Revenues,2019,NC,6834017
RESIDENTIAL,Revenues,2019,ND,527970
RESIDENTIAL,Revenues,2019,NE,1109655
RESIDENTIAL,Revenues,2019,NH,730748
RESIDENTIAL,Revenues,2019,NJ,3943913
RESIDENTIAL,Revenues,2019,NM,859664
RESIDENTIAL,Revenues,2019,NV,1544743
RESIDENTIAL,Revenues,2019,NY,7396800
RESIDENTIAL,Revenues,2019,OH,3411939
RESIDENTIAL,Revenues,2019,OK,2429743
RESIDENTIAL,Revenues,2019,OR,2123882
RESIDENTIAL,Revenues,2019,PA,4946762
RESIDENTIAL,Revenues,2019,RI,573987
RESIDENTIAL,Revenues,2019,SC,4048095
RESIDENTIAL,Revenues,2019,SD,584266
RESIDENTIAL,Revenues,2019,TN,4628861
RESIDENTIAL,Revenues,2019,TX,18286991
RESIDENTIAL,Revenues,2019,UT,1013001
RESIDENTIAL,Revenues,2019,VA,5632066
RESIDENTIAL,Revenues,2019,VT,368721
RESIDENTIAL,Revenues,2019,WA,3544716
RESIDENTIAL,Revenues,2019,WI,3117985
RESIDENTIAL,Revenues,2019,WV,1254560
RESIDENTIAL,Revenues,2019,WY,318423
RESIDENTIAL,Revenues,2019,US,169867383
RESIDENTIAL,Revenues,2018,AK,433247
RESIDENTIAL,Revenues,2018,AL,4027603
RESIDENTIAL,Revenues,2018,AR,1888657
RESIDENTIAL,Revenues,2018,AZ,4425192
RESIDENTIAL,Revenues,2018,CA,14943984
RESIDENTIAL,Revenues,2018,CO,2342778
RESIDENTIAL,Revenues,2018,CT,1979851
RESIDENTIAL,Revenues,2018,DC,238354
RESIDENTIAL,Revenues,2018,DE,589631
RESIDENTIAL,Revenues,2018,FL,14485280
RESIDENTIAL,Revenues,2018,GA,6847325
RESIDENTIAL,Revenues,2018,HI,880207
RESIDENTIAL,Revenues,2018,IA,1817122
RESIDENTIAL,Revenues,2018,ID,855157
RESIDENTIAL,Revenues,2018,IL,3788002
RESIDENTIAL,Revenues,2018,IN,4239862
RESIDENTIAL,Revenues,2018,KS,1894142
RESIDENTIAL,Revenues,2018,KY,2936379
RESIDENTIAL,Revenues,2018,LA,3074086
RESIDENTIAL,Revenues,2018,MA,2544779
RESIDENTIAL,Revenues,2018,MD,2964103
RESIDENTIAL,Revenues,2018,ME,698407
RESIDENTIAL,Revenues,2018,MI,5426778
RESIDENTIAL,Revenues,2018,MN,3001391
RESIDENTIAL,Revenues,2018,MO,4248638
RESIDENTIAL,Revenues,2018,MS,2146535
RESIDENTIAL,Revenues,2018,MT,569768
RESIDENTIAL,Revenues,2018,NC,6834735
RESIDENTIAL,Revenues,2018,ND,526145
RESIDENTIAL,Revenues,2018,NE,1114442
RESIDENTIAL,Revenues,2018,NH,717657
RESIDENTIAL,Revenues,2018,NJ,3905325
RESIDENTIAL,Revenues,2018,NM,865755
RESIDENTIAL,Revenues,2018,NV,1593360
RESIDENTIAL,Revenues,2018,NY,7899315
RESIDENTIAL,Revenues,2018,OH,3606112
RESIDENTIAL,Revenues,2018,OK,2484031
RESIDENTIAL,Revenues,2018,OR,2079228
RESIDENTIAL,Revenues,2018,PA,4946907
RESIDENTIAL,Revenues,2018,RI,564082
RESIDENTIAL,Revenues,2018,SC,3962861
RESIDENTIAL,Revenues,2018,SD,581764
RESIDENTIAL,Revenues,2018,TN,4751657
RESIDENTIAL,Revenues,2018,TX,17609632
RESIDENTIAL,Revenues,2018,UT,1011446
RESIDENTIAL,Revenues,2018,VA,5624478
RESIDENTIAL,Revenues,2018,VT,381309
RESIDENTIAL,Revenues,2018,WA,3446381
RESIDENTIAL,Revenues,2018,WI,3146091
RESIDENTIAL,Revenues,2018,WV,1306097
RESIDENTIAL,Revenues,2018,WY,310226
RESIDENTIAL,Revenues,2018,US,172556293
RESIDENTIAL,Revenues,2017,AK,438240
RESIDENTIAL,Revenues,2017,AL,3786699
RESIDENTIAL,Revenues,2017,AR,1749676
RESIDENTIAL,Revenues,2017,AZ,4259275
RESIDENTIAL,Revenues,2017,CA,15454565
RESIDENTIAL,Revenues,2017,CO,2264556
RESIDENTIAL,Revenues,2017,CT,1711969
RESIDENTIAL,Revenues,2017,DC,220953
RESIDENTIAL,Revenues,2017,DE,573415
RESIDENTIAL,Revenues,2017,FL,14097730
RESIDENTIAL,Revenues,2017,GA,6516806
RESIDENTIAL,Revenues,2017,HI,775853
RESIDENTIAL,Revenues,2017,IA,1692832
RESIDENTIAL,Revenues,2017,ID,876364
RESIDENTIAL,Revenues,2017,IL,3473763
RESIDENTIAL,Revenues,2017,IN,3878281
RESIDENTIAL,Revenues,2017,KS,1732461
RESIDENTIAL,Revenues,2017,KY,2699918
RESIDENTIAL,Revenues,2017,LA,2874957
RESIDENTIAL,Revenues,2017,MA,2390831
RESIDENTIAL,Revenues,2017,MD,2857545
RESIDENTIAL,Revenues,2017,ME,612349
RESIDENTIAL,Revenues,2017,MI,5077953
RESIDENTIAL,Revenues,2017,MN,2813969
RESIDENTIAL,Revenues,2017,MO,3843968
RESIDENTIAL,Revenues,2017,MS,1932657
RESIDENTIAL,Revenues,2017,MT,572286
RESIDENTIAL,Revenues,2017,NC,6138404
RESIDENTIAL,Revenues,2017,ND,498902
RESIDENTIAL,Revenues,2017,NE,1060436
RESIDENTIAL,Revenues,2017,NH,692076
RESIDENTIAL,Revenues,2017,NJ,3630821
RESIDENTIAL,Revenues,2017,NM,836772
RESIDENTIAL,Revenues,2017,NV,1550498
RESIDENTIAL,Revenues,2017,NY,7063059
RESIDENTIAL,Revenues,2017,OH,3454135
RESIDENTIAL,Revenues,2017,OK,2316983
RESIDENTIAL,Revenues,2017,OR,2138505
RESIDENTIAL,Revenues,2017,PA,4600258
RESIDENTIAL,Revenues,2017,RI,480042
RESIDENTIAL,Revenues,2017,SC,3804261
RESIDENTIAL,Revenues,2017,SD,547554
RESIDENTIAL,Revenues,2017,TN,4213506
RESIDENTIAL,Revenues,2017,TX,15886368
RESIDENTIAL,Revenues,2017,UT,1041820
RESIDENTIAL,Revenues,2017,VA,5078889
RESIDENTIAL,Revenues,2017,VT,357641
RESIDENTIAL,Revenues,2017,WA,3600615
RESIDENTIAL,Revenues,2017,WI,3045972
RESIDENTIAL,Revenues,2017,WV,1229699
RESIDENTIAL,Revenues,2017,WY,315284
RESIDENTIAL,Revenues,2017,US,162762368
RESIDENTIAL,Revenues,2016,AK,407365
RESIDENTIAL,Revenues,2016,AL,3843395
RESIDENTIAL,Revenues,2016,AR,1764930
RESIDENTIAL,Revenues,2016,AZ,4094426
RESIDENTIAL,Revenues,2016,CA,14931219
RESIDENTIAL,Revenues,2016,CO,2273979
RESIDENTIAL,Revenues,2016,CT,1654646
RESIDENTIAL,Revenues,2016,DC,219299
RESIDENTIAL,Revenues,2016,DE,590240
RESIDENTIAL,Revenues,2016,FL,13545273
RESIDENTIAL,Revenues,2016,GA,6659243
RESIDENTIAL,Revenues,2016,HI,717390
RESIDENTIAL,Revenues,2016,IA,1682433
RESIDENTIAL,Revenues,2016,ID,813497
RESIDENTIAL,Revenues,2016,IL,3295883
RESIDENTIAL,Revenues,2016,IN,3892459
RESIDENTIAL,Revenues,2016,KS,1764173
RESIDENTIAL,Revenues,2016,KY,2763077
RESIDENTIAL,Revenues,2016,LA,2861963
RESIDENTIAL,Revenues,2016,MA,2408460
RESIDENTIAL,Revenues,2016,MD,3047024
RESIDENTIAL,Revenues,2016,ME,578576
RESIDENTIAL,Revenues,2016,MI,5258021
RESIDENTIAL,Revenues,2016,MN,2762790
RESIDENTIAL,Revenues,2016,MO,3850746
RESIDENTIAL,Revenues,2016,MS,1931958
RESIDENTIAL,Revenues,2016,MT,530660
RESIDENTIAL,Revenues,2016,NC,6446114
RESIDENTIAL,Revenues,2016,ND,481747
RESIDENTIAL,Revenues,2016,NE,1055594
RESIDENTIAL,Revenues,2016,NH,678712
RESIDENTIAL,Revenues,2016,NJ,3898228
RESIDENTIAL,Revenues,2016,NM,799336
RESIDENTIAL,Revenues,2016,NV,1447619
RESIDENTIAL,Revenues,2016,NY,7032969
RESIDENTIAL,Revenues,2016,OH,3722385
RESIDENTIAL,Revenues,2016,OK,2323581
RESIDENTIAL,Revenues,2016,OR,1980615
RESIDENTIAL,Revenues,2016,PA,4636971
RESIDENTIAL,Revenues,2016,RI,503670
RESIDENTIAL,Revenues,2016,SC,3873817
RESIDENTIAL,Revenues,2016,SD,529582
RESIDENTIAL,Revenues,2016,TN,4349574
RESIDENTIAL,Revenues,2016,TX,16048319
RESIDENTIAL,Revenues,2016,UT,1032342
RESIDENTIAL,Revenues,2016,VA,5131025
RESIDENTIAL,Revenues,2016,VT,357128
RESIDENTIAL,Revenues,2016,WA,3244682
RESIDENTIAL,Revenues,2016,WI,3069410
RESIDENTIAL,Revenues,2016,WV,1301903
RESIDENTIAL,Revenues,2016,WY,306298
RESIDENTIAL,Revenues,2016,US,162394746
RESIDENTIAL,Revenues,2015,AK,405270
RESIDENTIAL,Revenues,2015,AL,3731831
RESIDENTIAL,Revenues,2015,AR,1794303
RESIDENTIAL,Revenues,2015,AZ,4023333
RESIDENTIAL,Revenues,2015,CA,14869855
RESIDENTIAL,Revenues,2015,CO,2227990
RESIDENTIAL,Revenues,2015,CT,1704475
RESIDENTIAL,Revenues,2015,DC,236259
RESIDENTIAL,Revenues,2015,DE,598753
RESIDENTIAL,Revenues,2015,FL,14216590
RESIDENTIAL,Revenues,2015,GA,6511155
RESIDENTIAL,Revenues,2015,HI,781896
RESIDENTIAL,Revenues,2015,IA,1603951
RESIDENTIAL,Revenues,2015,ID,799700
RESIDENTIAL,Revenues,2015,IL,2911967
RESIDENTIAL,Revenues,2015,IN,3753084
RESIDENTIAL,Revenues,2015,KS,1634552
RESIDENTIAL,Revenues,2015,KY,2680343
RESIDENTIAL,Revenues,2015,LA,2943587
RESIDENTIAL,Revenues,2015,MA,3025759
RESIDENTIAL,Revenues,2015,MD,2895747
RESIDENTIAL,Revenues,2015,ME,552761
RESIDENTIAL,Revenues,2015,MI,4810752
RESIDENTIAL,Revenues,2015,MN,2630742
RESIDENTIAL,Revenues,2015,MO,3799962
RESIDENTIAL,Revenues,2015,MS,2092177
RESIDENTIAL,Revenues,2015,MT,525004
RESIDENTIAL,Revenues,2015,NC,6531847
RESIDENTIAL,Revenues,2015,ND,467895
RESIDENTIAL,Revenues,2015,NE,1010527
RESIDENTIAL,Revenues,2015,NH,696834
RESIDENTIAL,Revenues,2015,NJ,3946176
RESIDENTIAL,Revenues,2015,NM,828169
RESIDENTIAL,Revenues,2015,NV,1574103
RESIDENTIAL,Revenues,2015,NY,7385309
RESIDENTIAL,Revenues,2015,OH,3717432
RESIDENTIAL,Revenues,2015,OK,2293592
RESIDENTIAL,Revenues,2015,OR,1948315
RESIDENTIAL,Revenues,2015,PA,4617728
RESIDENTIAL,Revenues,2015,RI,552124
RESIDENTIAL,Revenues,2015,SC,3778451
RESIDENTIAL,Revenues,2015,SD,506522
RESIDENTIAL,Revenues,2015,TN,4291880
RESIDENTIAL,Revenues,2015,TX,16838434
RESIDENTIAL,Revenues,2015,UT,992264
RESIDENTIAL,Revenues,2015,VA,5221259
