Sector,Count Type,Year,State,Value
RESIDENTIAL,Revenues,2016,NJ,187934
RESIDENTIAL,Revenues,2016,NV,0
RESIDENTIAL,Revenues,2016,NY,1024553
RESIDENTIAL,Revenues,2016,OH,1373357
RESIDENTIAL,Revenues,2016,OR,0
RESIDENTIAL,Revenues,2016,PA,1205265
RESIDENTIAL,Revenues,2016,RI,31639
RESIDENTIAL,Revenues,2016,VA,0
RESIDENTIAL,Revenues,2016,WA,0
RESIDENTIAL,Revenues,2016,US,6734890
RESIDENTIAL,Revenues,2015,CA,179418
RESIDENTIAL,Revenues,2015,CT,462277
RESIDENTIAL,Revenues,2015,DC,24289
RESIDENTIAL,Revenues,2015,DE,16714
RESIDENTIAL,Revenues,2015,IL,1253084
RESIDENTIAL,Revenues,2015,MA,378582
RESIDENTIAL,Revenues,2015,MD,287654
RESIDENTIAL,Revenues,2015,ME,74553
RESIDENTIAL,Revenues,2015,MI,32
RESIDENTIAL,Revenues,2015,MT,0
RESIDENTIAL,Revenues,2015,NH,51844
RESIDENTIAL,Revenues,2015,NJ,182473
RESIDENTIAL,Revenues,2015,NV,0
RESIDENTIAL,Revenues,2015,NY,1004895
RESIDENTIAL,Revenues,2015,OH,1324374
RESIDENTIAL,Revenues,2015,OR,0
RESIDENTIAL,Revenues,2015,PA,1077187
RESIDENTIAL,Revenues,2015,RI,21183
RESIDENTIAL,Revenues,2015,VA,0
RESIDENTIAL,Revenues,2015,WA,0
RESIDENTIAL,Revenues,2015,US,6338559
RESIDENTIAL,Revenues,2014,CA,63136
RESIDENTIAL,Revenues,2014,CT,482716
RESIDENTIAL,Revenues,2014,DC,13402
RESIDENTIAL,Revenues,2014,DE,16688
RESIDENTIAL,Revenues,2014,IL,1315046
RESIDENTIAL,Revenues,2014,MA,264255
RESIDENTIAL,Revenues,2014,MD,300389
RESIDENTIAL,Revenues,2014,ME,360872
RESIDENTIAL,Revenues,2014,MI,39
RESIDENTIAL,Revenues,2014,MT,0
RESIDENTIAL,Revenues,2014,NH,53266
RESIDENTIAL,Revenues,2014,NJ,219344
RESIDENTIAL,Revenues,2014,NV,0
RESIDENTIAL,Revenues,2014,NY,1023719
RESIDENTIAL,Revenues,2014,OH,1299829
RESIDENTIAL,Revenues,2014,OR,0
RESIDENTIAL,Revenues,2014,PA,1034532
RESIDENTIAL,Revenues,2014,RI,14409
RESIDENTIAL,Revenues,2014,VA,0
RESIDENTIAL,Revenues,2014,WA,0
RESIDENTIAL,Revenues,2014,US,6461642
RESIDENTIAL,Revenues,2013,CA,69075
RESIDENTIAL,Revenues,2013,CT,558393
RESIDENTIAL,Revenues,2013,DC,12165
RESIDENTIAL,Revenues,2013,DE,9657
RESIDENTIAL,Revenues,2013,IL,1136411
RESIDENTIAL,Revenues,2013,MA,256129
RESIDENTIAL,Revenues,2013,MD,278915
RESIDENTIAL,Revenues,2013,ME,348265
RESIDENTIAL,Revenues,2013,MI,39
RESIDENTIAL,Revenues,2013,MT,1
RESIDENTIAL,Revenues,2013,NH,46262
RESIDENTIAL,Revenues,2013,NJ,256809
RESIDENTIAL,Revenues,2013,NV,0
RESIDENTIAL,Revenues,2013,NY,1069480
RESIDENTIAL,Revenues,2013,OH,1151367
RESIDENTIAL,Revenues,2013,OR,0
RESIDENTIAL,Revenues,2013,PA,973060
RESIDENTIAL,Revenues,2013,RI,6081
RESIDENTIAL,Revenues,2013,WA,0
RESIDENTIAL,Revenues,2013,US,6172108
RESIDENTIAL,Revenues,2012,CA,46382
RESIDENTIAL,Revenues,2012,CT,508176
RESIDENTIAL,Revenues,2012,DC,9594
RESIDENTIAL,Revenues,2012,DE,5937
RESIDENTIAL,Revenues,2012,IL,390991
RESIDENTIAL,Revenues,2012,MA,212306
RESIDENTIAL,Revenues,2012,MD,222382
RESIDENTIAL,Revenues,2012,ME,319468
RESIDENTIAL,Revenues,2012,MI,51
RESIDENTIAL,Revenues,2012,MT,5
RESIDENTIAL,Revenues,2012,NH,7840
RESIDENTIAL,Revenues,2012,NJ,211243
RESIDENTIAL,Revenues,2012,NV,0
RESIDENTIAL,Revenues,2012,NY,1005732
RESIDENTIAL,Revenues,2012,OH,946691
RESIDENTIAL,Revenues,2012,OR,0
RESIDENTIAL,Revenues,2012,PA,797433
RESIDENTIAL,Revenues,2012,RI,2992
RESIDENTIAL,Revenues,2012,WA,0
RESIDENTIAL,Revenues,2012,US,4687223
RESIDENTIAL,Revenues,2011,CA,28810
RESIDENTIAL,Revenues,2011,CT,463921
RESIDENTIAL,Revenues,2011,DC,5002
RESIDENTIAL,Revenues,2011,DE,3240
RESIDENTIAL,Revenues,2011,IL,37960
RESIDENTIAL,Revenues,2011,MA,170192
RESIDENTIAL,Revenues,2011,MD,176141
RESIDENTIAL,Revenues,2011,ME,300663
RESIDENTIAL,Revenues,2011,MI,51
RESIDENTIAL,Revenues,2011,MT,5
RESIDENTIAL,Revenues,2011,NH,792
RESIDENTIAL,Revenues,2011,NJ,136325
RESIDENTIAL,Revenues,2011,NV,0
RESIDENTIAL,Revenues,2011,NY,846939
RESIDENTIAL,Revenues,2011,OH,663218
RESIDENTIAL,Revenues,2011,OR,0
RESIDENTIAL,Revenues,2011,PA,512850
RESIDENTIAL,Revenues,2011,RI,1895
RESIDENTIAL,Revenues,2011,WA,0
RESIDENTIAL,Revenues,2011,US,3348004
RESIDENTIAL,Revenues,2010,CA,17816
RESIDENTIAL,Revenues,2010,CT,319878
RESIDENTIAL,Revenues,2010,DC,3469
RESIDENTIAL,Revenues,2010,DE,3607
RESIDENTIAL,Revenues,2010,ID,0
RESIDENTIAL,Revenues,2010,IL,282
RESIDENTIAL,Revenues,2010,MA,174123
RESIDENTIAL,Revenues,2010,MD,81244
RESIDENTIAL,Revenues,2010,ME,294532
RESIDENTIAL,Revenues,2010,MI,63
RESIDENTIAL,Revenues,2010,MT,4
RESIDENTIAL,Revenues,2010,NH,786
RESIDENTIAL,Revenues,2010,NJ,18276
RESIDENTIAL,Revenues,2010,NV,0
RESIDENTIAL,Revenues,2010,NY,741029
RESIDENTIAL,Revenues,2010,OH,489580
RESIDENTIAL,Revenues,2010,OR,0
RESIDENTIAL,Revenues,2010,PA,184862
RESIDENTIAL,Revenues,2010,RI,899
RESIDENTIAL,Revenues,2010,WA,0
RESIDENTIAL,Revenues,2010,US,2330451
RESIDENTIAL,Sales,2021,CA,22126844
RESIDENTIAL,Sales,2021,CT,2353264
RESIDENTIAL,Sales,2021,DC,549910
RESIDENTIAL,Sales,2021,DE,326942
RESIDENTIAL,Sales,2021,IL,14737629
RESIDENTIAL,Sales,2021,MA,9658818
RESIDENTIAL,Sales,2021,MD,4500989
RESIDENTIAL,Sales,2021,ME,464066
RESIDENTIAL,Sales,2021,MI,654
RESIDENTIAL,Sales,2021,MT,6
RESIDENTIAL,Sales,2021,NH,653699
RESIDENTIAL,Sales,2021,NJ,3101018
RESIDENTIAL,Sales,2021,NV,0
RESIDENTIAL,Sales,2021,NY,6852792
RESIDENTIAL,Sales,2021,OH,25783000
RESIDENTIAL,Sales,2021,OR,0
RESIDENTIAL,Sales,2021,PA,14889389
RESIDENTIAL,Sales,2021,RI,260113
