Sector,Count Type,Year,State,Value
RESIDENTIAL,Revenues,2016,NH,137071
RESIDENTIAL,Revenues,2016,NJ,675546
RESIDENTIAL,Revenues,2016,NV,0
RESIDENTIAL,Revenues,2016,NY,1900654
RESIDENTIAL,Revenues,2016,OH,2828847
RESIDENTIAL,Revenues,2016,OR,0
RESIDENTIAL,Revenues,2016,PA,2833029
RESIDENTIAL,Revenues,2016,RI,69992
RESIDENTIAL,Revenues,2016,VA,0
RESIDENTIAL,Revenues,2016,WA,0
RESIDENTIAL,Revenues,2016,US,14681993
RESIDENTIAL,Revenues,2015,CA,317971
RESIDENTIAL,Revenues,2015,CT,994831
RESIDENTIAL,Revenues,2015,DC,88050
RESIDENTIAL,Revenues,2015,DE,52082
RESIDENTIAL,Revenues,2015,IL,2669134
RESIDENTIAL,Revenues,2015,MA,974263
RESIDENTIAL,Revenues,2015,MD,891130
RESIDENTIAL,Revenues,2015,ME,175161
RESIDENTIAL,Revenues,2015,MI,63
RESIDENTIAL,Revenues,2015,MT,1
RESIDENTIAL,Revenues,2015,NH,140715
RESIDENTIAL,Revenues,2015,NJ,661094
RESIDENTIAL,Revenues,2015,NV,0
RESIDENTIAL,Revenues,2015,NY,2070878
RESIDENTIAL,Revenues,2015,OH,2873137
RESIDENTIAL,Revenues,2015,OR,0
RESIDENTIAL,Revenues,2015,PA,2805417
RESIDENTIAL,Revenues,2015,RI,52701
RESIDENTIAL,Revenues,2015,VA,0
RESIDENTIAL,Revenues,2015,WA,0
RESIDENTIAL,Revenues,2015,US,14766628
RESIDENTIAL,Revenues,2014,CA,118110
RESIDENTIAL,Revenues,2014,CT,1060267
RESIDENTIAL,Revenues,2014,DC,47395
RESIDENTIAL,Revenues,2014,DE,50638
RESIDENTIAL,Revenues,2014,IL,3029355
RESIDENTIAL,Revenues,2014,MA,605002
RESIDENTIAL,Revenues,2014,MD,963138
RESIDENTIAL,Revenues,2014,ME,699912
RESIDENTIAL,Revenues,2014,MI,81
RESIDENTIAL,Revenues,2014,MT,1
RESIDENTIAL,Revenues,2014,NH,135384
RESIDENTIAL,Revenues,2014,NJ,815793
RESIDENTIAL,Revenues,2014,NV,0
RESIDENTIAL,Revenues,2014,NY,2224238
RESIDENTIAL,Revenues,2014,OH,2829895
RESIDENTIAL,Revenues,2014,OR,0
RESIDENTIAL,Revenues,2014,PA,2928015
RESIDENTIAL,Revenues,2014,RI,33378
RESIDENTIAL,Revenues,2014,VA,0
RESIDENTIAL,Revenues,2014,WA,0
RESIDENTIAL,Revenues,2014,US,15540600
RESIDENTIAL,Revenues,2013,CA,115671
RESIDENTIAL,Revenues,2013,CT,1109443
RESIDENTIAL,Revenues,2013,DC,43341
RESIDENTIAL,Revenues,2013,DE,29506
RESIDENTIAL,Revenues,2013,IL,2518742
RESIDENTIAL,Revenues,2013,MA,524902
RESIDENTIAL,Revenues,2013,MD,890606
RESIDENTIAL,Revenues,2013,ME,658062
RESIDENTIAL,Revenues,2013,MI,83
RESIDENTIAL,Revenues,2013,MT,2
RESIDENTIAL,Revenues,2013,NH,102043
RESIDENTIAL,Revenues,2013,NJ,822299
RESIDENTIAL,Revenues,2013,NV,0
RESIDENTIAL,Revenues,2013,NY,2059585
RESIDENTIAL,Revenues,2013,OH,2465537
RESIDENTIAL,Revenues,2013,OR,0
RESIDENTIAL,Revenues,2013,PA,2574695
RESIDENTIAL,Revenues,2013,RI,13042
RESIDENTIAL,Revenues,2013,WA,0
RESIDENTIAL,Revenues,2013,US,13927559
RESIDENTIAL,Revenues,2012,CA,77101
RESIDENTIAL,Revenues,2012,CT,1016594
RESIDENTIAL,Revenues,2012,DC,35612
RESIDENTIAL,Revenues,2012,DE,20215
RESIDENTIAL,Revenues,2012,IL,890316
RESIDENTIAL,Revenues,2012,MA,427321
RESIDENTIAL,Revenues,2012,MD,714846
RESIDENTIAL,Revenues,2012,ME,646063
RESIDENTIAL,Revenues,2012,MI,107
RESIDENTIAL,Revenues,2012,MT,12
RESIDENTIAL,Revenues,2012,NH,16248
RESIDENTIAL,Revenues,2012,NJ,668440
RESIDENTIAL,Revenues,2012,NV,0
RESIDENTIAL,Revenues,2012,NY,1816922
RESIDENTIAL,Revenues,2012,OH,2063505
